,StateName,stateabb,ST_CODE,bigstate,PCNAME,m_electors,f_electors,t_electors,m_voters,f_voters,t_voters,year,n,L,Representation,Constituency1
2618,Uttar Pradesh,UP,S24,1,Azamgarh,941447,761573,1703121,504375,455380,959755,2014,447,,0,AZAMGARH
2353,Uttar Pradesh,UP,S24,1,Badaun,978040,791044,1769145,595106,431771,1026884,2014,401,,0,BADAUN
995,Karnataka,KA,S10,1,Bagalkot,793354,775172,1568633,561494,517311,1078805,2014,149,,0,BAGALKOT
2699,Uttar Pradesh,UP,S24,1,Baghpat,850681,654413,1505175,582431,421180,1003611,2014,389,,1,BAGHPAT
2898,West Bengal,WB,S25,1,Baharampur,752943,700833,1453783,584203,569867,1154070,2014,468,,1,BAHARAMPUR
2596,Uttar Pradesh,UP,S24,1,Bahraich,882643,755897,1638640,522529,411550,934081,2014,434,,0,BAHRAICH
1252,Madhya Pradesh,MP,S12,1,BALAGHAT,822670,807049,1629741,570388,540968,1111356,2014,209,,0,BALAGHAT
1675,Odisha,OD,S18,1,Balasore,709342,656857,1366218,531346,516773,1048119,2014,283,,1,BALASORE
2489,Uttar Pradesh,UP,S24,1,Ballia,973384,794830,1768271,517773,423406,941182,2014,450,,0,BALLIA
2845,West Bengal,WB,S25,1,Balurghat,653841,600646,1254497,548053,513027,1061080,2014,464,,1,BALURGHAT
640,Gujarat,GJ,S06,1,Banaskantha,796124,719587,1515711,511698,371518,883216,2014,102,,1,BANASKANTHA
2582,Uttar Pradesh,UP,S24,1,Banda,884779,717011,1601855,473933,384301,858234,2014,426,,0,BANDA
989,Karnataka,KA,S10,1,Bangalore central,1010478,920679,1931456,573657,500273,1073957,2014,171,,0,BANGALORE CENTRAL
891,Karnataka,KA,S10,1,Bangalore North,1260356,1140751,2401472,720898,634569,1355485,2014,170,,0,BANGALORE NORTH
1036,Karnataka,KA,S10,1,Bangalore Rural,1135853,1054284,2190398,758651,696340,1455003,2014,169,,0,BANGALORE RURAL
962,Karnataka,KA,S10,1,Bangalore South,1050737,947667,1998724,596688,516207,1112914,2014,172,,0,BANGALORE SOUTH
2972,West Bengal,WB,S25,1,Bangaon,796650,744053,1540713,653011,627517,1280528,2014,472,,0,BANGAON
525,Bihar,BH,S04,1,Banka,824924,724490,1549456,461297,438021,899318,2014,85,,0,BANKA
2775,West Bengal,WB,S25,1,Bankura,775893,727919,1503812,644501,590353,1234854,2014,494,,1,BANKURA
2573,Uttar Pradesh,UP,S24,1,Bansgaon,980235,779762,1760090,459714,417437,877152,2014,445,,0,BANSGAON
1966,Rajasthan,RJ,S20,1,Banswara,866441,831800,1698244,578240,590772,1169012,2014,331,,0,BANSWARA
23,Andhra Pradesh,AP,S01,1,Bapatla,686494,706353,1392964,583921,594010,1177932,2014,32,,1,BAPATLA
2743,Uttar Pradesh,UP,S24,1,Barabanki,925944,795265,1721278,611146,457015,1068161,2014,431,,0,BARABANKI
1399,Maharashtra,MH,S13,1,Baramati,960395,853153,1813553,602117,463496,1065613,2014,258,,0,BARAMATI
854,Jammu & Kashmir,JK,S09,2,Baramulla,624014,566724,1190766,256288,209691,465979,2014,141,,1,BARAMULLA
2892,West Bengal,WB,S25,1,Barasat,774305,738463,1512792,669359,596363,1265746,2014,475,,1,BARASAT
2940,West Bengal,WB,S25,1,Bardhaman Purba,795545,736693,1532244,682635,637516,1320152,2014,496,,1,BARDHAMAN PURBA
715,Gujarat,GJ,S06,1,Bardoli,829648,784448,1614106,636398,567973,1204371,2014,123,,0,BARDOLI
2330,Uttar Pradesh,UP,S24,1,Bareilly,911264,752773,1664081,574826,441899,1016728,2014,403,,0,BAREILLY
1754,Odisha,OD,S18,1,Bargarh,751140,679485,1430717,595871,526985,1122864,2014,278,,1,BARGARH
1967,Rajasthan,RJ,S20,1,Barmer,896867,783282,1680152,653991,562013,1216004,2014,328,,0,BARMER
300,Assam,AS,S03,1,Barpeta,755566,674622,1430188,634466,571414,1205880,2014,50,,1,BARPETA
2834,West Bengal,WB,S25,1,Barrackpore,682366,604844,1287222,567286,481436,1048722,2014,473,,1,BARRACKPUR
2768,West Bengal,WB,S25,1,Basirhat,777768,712812,1490596,677047,595849,1272897,2014,476,,1,BASIRHAT
3048,Chhattisgarh,CT,S26,1,BASTAR,632842,665241,1298083,386189,383710,769899,2014,510,,1,BASTAR
2719,Uttar Pradesh,UP,S24,1,Basti,962508,824831,1787476,549704,498809,1048521,2014,439,,0,BASTI
1850,Punjab,PB,S19,1,Bathinda,813119,712156,1525289,626895,549533,1176428,2014,309,,1,BATHINDA
1595,Maharashtra,MH,S13,1,Beed,963569,829083,1792652,680369,551091,1231460,2014,262,,0,BEED
436,Bihar,BH,S04,1,Begusarai,949825,828874,1778759,545214,532151,1077365,2014,82,,0,BEGUSARAI
978,Karnataka,KA,S10,1,Belgaum,807485,773259,1580895,569642,508074,1077716,2014,148,,0,BELGAUM
986,Karnataka,KA,S10,1,Bellary,750789,737003,1487945,541905,503534,1045448,2014,155,,1,BELLARY
1734,Odisha,OD,S18,1,Berhampur,680089,654171,1334268,450468,454066,904534,2014,297,,1,BERHAMPUR
1329,Madhya Pradesh,MP,S12,1,BETUL,836846,770954,1607831,573928,473282,1047231,2014,223,,0,BETUL
2388,Uttar Pradesh,UP,S24,1,Bhadohi,1016000,818442,1834598,527390,454368,981760,2014,456,,0,BHADOHI
1710,Odisha,OD,S18,1,Bhadrak,774566,694893,1469498,537329,541995,1079324,2014,284,,1,BHADRAK
536,Bihar,BH,S04,1,Bhagalpur,895185,790098,1685339,522417,451535,973953,2014,84,,0,BHAGALPUR
1576,Maharashtra,MH,S13,1,Bhandara - gondiya,841257,814592,1655852,615597,580693,1196291,2014,234,,0,BHANDARA-GONDIYA
2005,Rajasthan,RJ,S20,1,BHARATPUR,910990,779714,1690705,547046,413081,960127,2014,320,,0,BHARATPUR
641,Gujarat,GJ,S06,1,Bharuch,734862,682658,1417548,562549,493760,1056319,2014,122,,1,BHARUCH
659,Gujarat,GJ,S06,1,Bhavnagar,834571,759936,1594531,516968,396013,912992,2014,115,,0,BHAVNAGAR
1879,Rajasthan,RJ,S20,1,Bhilwara,904045,850856,1754901,580533,521628,1102161,2014,334,,0,BHILWARA
1330,Madhya Pradesh,MP,S12,1,BHIND,892173,707938,1600137,469662,259501,729163,2014,196,,0,BHIND
1580,Maharashtra,MH,S13,1,Bhiwandi,945521,751031,1696584,502705,372339,875044,2014,246,,0,BHIWANDI
762,Haryana,HR,S07,1,Bhiwani-Mahendragarh,792166,681746,1473912,559428,470289,1029717,2014,134,,1,BHIWANI-MAHENDRAGARH
53,Andhra Pradesh,AP,S01,1,Bhongir,756965,735217,1492240,620408,588076,1208493,2014,14,,1,BHONGIR
1326,Madhya Pradesh,MP,S12,1,BHOPAL,1039153,918021,1957241,639634,490428,1130069,2014,213,,0,BHOPAL
1689,Odisha,OD,S18,1,Bhubaneswar ,835850,691665,1527768,485138,406314,891460,2014,295,,1,BHUBANESWAR
988,Karnataka,KA,S10,1,Bidar,839154,761738,1600962,508036,454615,962652,2014,153,,0,BIDAR
892,Karnataka,KA,S10,1,Bijapur,847815,774643,1622635,521090,445637,966734,2014,150,,0,BIJAPUR
2722,Uttar Pradesh,UP,S24,1,Bijnor,848418,713587,1562081,575976,482184,1058170,2014,382,,0,BIJNOR
1981,Rajasthan,RJ,S20,1,Bikaner,847726,744629,1592355,526374,402281,928655,2014,313,,0,BIKANER
3022,Chhattisgarh,CT,S26,1,BILASPUR,891316,837889,1729229,573078,516910,1089988,2014,505,,0,BILASPUR
2832,West Bengal,WB,S25,1,Birbhum,773438,721641,1495089,669860,605076,1274936,2014,500,,1,BIRBHUM
2895,West Bengal,WB,S25,1,Bishnupur,759317,707604,1466921,667023,603708,1270731,2014,495,,1,BISHNUPUR
1768,Odisha,OD,S18,1,Bolangir,814968,747976,1563025,605683,563394,1169117,2014,287,,0,BOLANGIR
2874,West Bengal,WB,S25,1,Bolpur,798378,740033,1538421,682036,621426,1303462,2014,499,,0,BOLPUR
2384,Uttar Pradesh,UP,S24,1,Bulandshahr,930827,805499,1736436,549613,459467,1009095,2014,392,,0,BULANDSHAHR
1430,Maharashtra,MH,S13,1,Buldhana,844789,750643,1595435,535827,442565,978392,2014,228,,0,BULDHANA
2995,West Bengal,WB,S25,1,Burdwan - durgapur,821377,762111,1583495,700025,629761,1329789,2014,497,,0,BARDHAMAN-DURGAPUR
548,Bihar,BH,S04,1,Buxar,877699,762929,1640671,494435,394512,888947,2014,91,,0,BUXAR
1161,Kerala,KL,S11,1,Chalakudy,565083,585414,1150497,437197,446915,884112,2014,185,,1,CHALAKUDY
920,Karnataka,KA,S10,1,Chamarajanagar,789384,766336,1555781,585063,547426,1132497,2014,168,,0,CHAMARAJANAGAR
2714,Uttar Pradesh,UP,S24,1,Chandauli,887892,705123,1593133,545894,433978,979873,2014,454,,0,CHANDAULI
3191,Chandigarh,CH,U02,2,CHANDIGARH,333621,281593,615214,244907,208415,453322,2014,532,,1,CHANDIGARH
3215,NCT OF Delhi,DL,U05,2,CHANDNI CHOWK,791318,655854,1447230,548427,431342,979790,2014,535,,1,CHANDNI CHOWK
1625,Maharashtra,MH,S13,1,Chandrapur,921095,832595,1753690,602269,506480,1108749,2014,236,,0,CHANDRAPUR
3097,Jharkhand,JH,S27,1,Chatra,696501,616060,1312562,383214,329747,712961,2014,515,,1,CHATRA
186,Andhra Pradesh,AP,S01,1,CHELVELLA,1153061,1031897,2185164,695012,617108,1312120,2014,10,,0,CHEVELLA
2214,Tamil Nadu,TN,S22,1,Chennai central,665282,662504,1328038,421903,392161,814079,2014,341,,1,CHENNAI CENTRAL
