,StateName,stateabb,PCNAME,t_voters,t_electors,voters_turnout,log_electors,sex_ratio,f_voters_turnout,year
2253,Tamil Nadu,TN,KARUR,742800,1069359,69.5,13.88,1021,67.4,2004
2254,Tamil Nadu,TN,Pollachi,613288,1074230,57.1,13.89,982,52.3,1999
2255,Tamil Nadu,TN,Tiruppattur,746109,1144891,65.2,13.95,1009,63.6,1999
2257,Tripura,TR,TRIPURA WEST,699397,1041596,67.1,13.86,931,64.1,2004
2259,Tripura,TR,Tripura East,564376,854764,66.0,13.66,930,62.1,1999
2260,Tripura,TR,Tripura West,932307,1093799,85.2,13.91,951,82.4,2009
2261,Tripura,TR,TRIPURA EAST (ST),619546,936626,66.1,13.75,936,62.4,2004
2263,Tripura,TR,Tripura East,945442,1140276,82.9,13.95,961,82.2,2014
2264,Tripura,TR,Tripura West,1066298,1248546,85.4,14.04,963,85.4,2014
2265,Tripura,TR,Tripura East,816957,988466,82.6,13.8,957,82.7,2009
2267,Tripura,TR,Tripura West,659408,941291,70.1,13.76,934,67.8,1999
2268,Uttar Pradesh,UP,Ballia,677462,1679029,40.3,14.33,820,38.2,2009
2269,Uttar Pradesh,UP,Varanasi,1029816,1766487,58.3,14.38,793,55.9,2014
2272,Uttar Pradesh,UP,Etah,926017,1577457,58.7,14.27,841,56.3,2014
2273,Uttar Pradesh,UP,Domariaganj,624312,1146572,54.5,13.95,812,54.7,1999
2274,Uttar Pradesh,UP,Jhansi,762984,1319184,57.8,14.09,867,49.4,1999
2275,Uttar Pradesh,UP,Azamgarh,661604,1215261,54.4,14.01,822,54.3,1999
2278,Uttar Pradesh,UP,Ghatampur,563152,1112727,50.6,13.92,790,44.2,1999
2282,Uttar Pradesh,UP,Kannauj,741928,1504276,49.3,14.22,800,43.6,2009
2283,Uttar Pradesh,UP,Kannauj,1113869,1808886,61.6,14.41,809,59.9,2014
2284,Uttar Pradesh,UP,Amethi,874865,1669843,52.4,14.33,875,53.1,2014
2287,Uttar Pradesh,UP,Mainpuri,580084,1109097,52.3,13.92,746,38.5,1999
2290,Uttar Pradesh,UP,ALIGARH,633500,1341254,47.2,14.11,833,39.9,2004
