,StateName,stateabb,PCNAME,t_voters,t_electors,voters_turnout,log_electors,sex_ratio,f_voters_turnout,year
2534,Uttar Pradesh,UP,Hathras,648392,1437725,45.1,14.18,798,39.8,2009
2536,Uttar Pradesh,UP,BAHRAICH,549535,1423646,38.6,14.17,836,28.4,2004
2537,Uttar Pradesh,UP,Robertsganj,885628,1639074,54.0,14.31,819,52.5,2014
2538,Uttar Pradesh,UP,LALGANJ (SC),763526,1558349,49.0,14.26,859,46.4,2004
2542,Uttar Pradesh,UP,HATHRAS (SC),492076,1212983,40.6,14.01,821,31.7,2004
2543,Uttar Pradesh,UP,Bareilly,705572,1401423,50.3,14.15,837,45.2,2009
2544,Uttar Pradesh,UP,Sant Kabir Nagar,1012117,1904315,53.1,14.46,821,57.2,2014
2546,Uttar Pradesh,UP,Muzaffarnagar,1102713,1588475,69.4,14.28,815,68.0,2014
2548,Uttar Pradesh,UP,Padrauna,708154,1210405,58.5,14.01,819,58.2,1999
2549,Uttar Pradesh,UP,Hamirpur,977593,1737993,56.2,14.37,831,54.2,2014
2550,Uttar Pradesh,UP,Akbarpur,970980,1768635,54.9,14.39,809,52.0,2014
2551,Uttar Pradesh,UP,Bilhaur,638771,1261013,50.7,14.05,687,44.3,1999
2552,Uttar Pradesh,UP,Jalesar,678248,1122770,60.4,13.93,790,50.9,1999
2553,Uttar Pradesh,UP,Agra,1069503,1814739,58.9,14.41,808,55.2,2014
2554,Uttar Pradesh,UP,SULTANPUR,721002,1465273,49.2,14.2,849,44.9,2004
2555,Uttar Pradesh,UP,Saharanpur,821118,1298132,63.3,14.08,832,59.7,2009
2556,Uttar Pradesh,UP,SITAPUR,596568,1292685,46.1,14.07,862,34.8,2004
2559,Uttar Pradesh,UP,Etah,568011,1278295,44.4,14.06,804,38.2,2009
2561,Uttar Pradesh,UP,Kaushambi,550990,1391312,39.6,14.15,844,37.8,2009
2562,Uttar Pradesh,UP,CHANDAULI,704386,1580853,44.6,14.27,818,37.8,2004
2563,Uttar Pradesh,UP,Azamgarh,704218,1578854,44.6,14.27,849,45.6,2009
2564,Uttar Pradesh,UP,Lalganj,698220,1313973,53.1,14.09,863,51.6,1999
2565,Uttar Pradesh,UP,Chandauli,671001,1446259,46.4,14.18,830,44.3,2009
2567,Uttar Pradesh,UP,Allahabad,648551,1410588,46.0,14.16,781,47.2,1999
2568,Uttar Pradesh,UP,BILHAUR,641369,1369589,46.8,14.13,810,38.6,2004
2571,Uttar Pradesh,UP,Bijnor,711282,1276433,55.7,14.06,700,55.5,1999
2573,Uttar Pradesh,UP,Bansgaon,877152,1760090,49.8,14.38,795,53.5,2014
2574,Uttar Pradesh,UP,KANNAUJ,759336,1346673,56.4,14.11,802,44.2,2004
2575,Uttar Pradesh,UP,Machhlishahr ,996793,1891969,52.7,14.45,843,55.9,2014
2578,Uttar Pradesh,UP,Shrawasti,979951,1788080,54.8,14.4,831,51.8,2014
2579,Uttar Pradesh,UP,Firozabad,1104568,1636738,67.5,14.31,813,62.9,2014
2580,Uttar Pradesh,UP,Fatehpur,694379,1536621,45.2,14.25,819,41.6,2009
2581,Uttar Pradesh,UP,Jhansi,1320441,1932052,68.3,14.47,868,65.3,2014
2582,Uttar Pradesh,UP,Banda,858234,1601855,53.6,14.29,810,53.6,2014
2583,Uttar Pradesh,UP,Fatehpur Sikri,967152,1580582,61.2,14.27,802,57.1,2014
2586,Uttar Pradesh,UP,Banda,619760,1386265,44.7,14.14,807,41.9,2009
2587,Uttar Pradesh,UP,Gonda,606057,1341455,45.2,14.11,840,41.2,2009
2588,Uttar Pradesh,UP,HARDOI (SC),522063,1213260,43.0,14.01,783,32.3,2004
2590,Uttar Pradesh,UP,Aonla,704908,1310878,53.8,14.09,791,48.0,2009
2591,Uttar Pradesh,UP,RAMPUR,811098,1420598,57.1,14.17,872,49.4,2004
2592,Uttar Pradesh,UP,Hamirpur,725450,1498840,48.4,14.22,808,43.2,2009
2593,Uttar Pradesh,UP,MAINPURI,719797,1211002,59.4,14.01,809,47.0,2004
2594,Uttar Pradesh,UP,Shahjahanpur,792500,1627964,48.7,14.3,806,40.6,2009
2596,Uttar Pradesh,UP,Bahraich,934081,1638640,57.0,14.31,856,54.4,2014
2597,Uttar Pradesh,UP,Kairana,700065,1099503,63.7,13.91,818,55.8,1999
2598,Uttar Pradesh,UP,LUCKNOW,578501,1639922,35.3,14.31,854,28.9,2004
2599,Uttar Pradesh,UP,Unnao,904492,1818980,49.7,14.41,823,45.7,2009
2600,Uttar Pradesh,UP,Pratapgarh,575741,1189143,48.4,13.99,818,43.8,1999
2601,Uttar Pradesh,UP,Moradabad,647988,1156172,56.0,13.96,850,49.6,1999
2602,Uttar Pradesh,UP,Ambedkar Nagar,1034355,1718774,60.2,14.36,861,62.0,2014
2603,Uttar Pradesh,UP,Jaunpur,763984,1662127,46.0,14.32,854,48.1,2009
2604,Uttar Pradesh,UP,MISRIKH (SC),551699,1234107,44.7,14.03,804,34.4,2004
2606,Uttar Pradesh,UP,Kheri,1077848,1679466,64.2,14.33,856,60.9,2014
2610,Uttar Pradesh,UP,Kairana,1118199,1531767,73.0,14.24,822,72.4,2014
2612,Uttar Pradesh,UP,Salempur,636287,1621136,39.2,14.3,857,38.3,2009
2613,Uttar Pradesh,UP,Nagina,942349,1493419,63.1,14.22,877,65.7,2014
2614,Uttar Pradesh,UP,Moradabad,1126092,1771985,63.5,14.39,842,61.6,2014
2615,Uttar Pradesh,UP,KAIRANA,816700,1220829,66.9,14.02,814,60.7,2004
2616,Uttar Pradesh,UP,CHAIL (SC),555332,1484115,37.4,14.21,812,31.1,2004
2618,Uttar Pradesh,UP,Azamgarh,959755,1703121,56.4,14.35,809,59.8,2014
2619,Uttar Pradesh,UP,Farrukhabad,610887,1306214,46.8,14.08,808,39.5,2009
2620,Uttar Pradesh,UP,MACHHLISHAHR,676977,1474056,45.9,14.2,858,43.5,2004
2621,Uttar Pradesh,UP,AZAMGARH,711356,1425023,49.9,14.17,842,48.0,2004
2622,Uttar Pradesh,UP,GHOSI,721463,1427284,50.5,14.17,826,47.6,2004
2623,Uttar Pradesh,UP,KHURJA (SC),601160,1457828,41.2,14.19,829,33.7,2004
2624,Uttar Pradesh,UP,Etawah,637849,1416867,45.0,14.16,799,39.9,2009
2625,Uttar Pradesh,UP,SALEMPUR,669579,1484606,45.1,14.21,852,39.9,2004
2626,Uttar Pradesh,UP,Mainpuri,998538,1653058,60.4,14.32,836,55.7,2014
2627,Uttar Pradesh,UP,Kushi Nagar,731275,1438263,50.8,14.18,845,51.4,2009
2628,Uttar Pradesh,UP,Aonla,994700,1653577,60.2,14.32,803,57.4,2014
2630,Uttar Pradesh,UP,AKBARPUR (SC),741543,1446088,51.3,14.18,860,48.1,2004
2631,Uttar Pradesh,UP,PRATAPGARH,572666,1332216,43.0,14.1,869,39.2,2004
2632,Uttar Pradesh,UP,BIJNOR (SC),705729,1355437,52.1,14.12,858,47.0,2004
2634,Uttar Pradesh,UP,FARRUKHABAD,665458,1366501,48.7,14.13,803,36.7,2004
2635,Uttar Pradesh,UP,Agra,642572,1250278,51.4,14.04,923,48.1,1999
2636,Uttar Pradesh,UP,Meerut,727559,1508788,48.2,14.23,834,43.6,2009
2638,Uttar Pradesh,UP,JALESAR,650313,1240919,52.4,14.03,810,42.6,2004
2639,Uttar Pradesh,UP,Etawah,937881,1707237,54.9,14.35,819,53.1,2014
2640,Uttar Pradesh,UP,Bansgaon,649944,1663648,39.1,14.32,825,40.0,2009
2641,Uttar Pradesh,UP,Allahabad,890833,1666569,53.5,14.33,816,51.3,2014
2642,Uttar Pradesh,UP,Jalaun,1108846,1887189,58.8,14.45,819,56.0,2014
2643,Uttar Pradesh,UP,Rae bareli,666584,1379507,48.3,14.14,880,46.7,2009
2646,Uttar Pradesh,UP,Fatehpur,1055940,1804753,58.5,14.41,831,58.8,2014
2647,Uttar Pradesh,UP,AONLA,536458,1145865,46.8,13.95,792,37.1,2004
2648,Uttar Pradesh,UP,Phulpur,959420,1913275,50.1,14.46,798,49.2,2014
2649,Uttar Pradesh,UP,Meerut,756275,1269454,59.6,14.05,823,63.3,1999
2650,Uttar Pradesh,UP,Hathras,467558,1138146,41.1,13.94,825,29.0,1999
2652,Uttar Pradesh,UP,BANDA,526286,1283915,41.0,14.07,839,33.7,2004
2653,Uttar Pradesh,UP,SHAHJAHANPUR,634371,1240983,51.1,14.03,922,36.6,2004
2654,Uttar Pradesh,UP,Varanasi,665221,1561854,42.6,14.26,800,38.5,2009
2656,Uttar Pradesh,UP,BASTI (SC),576389,1416526,40.7,14.16,801,34.9,2004
2657,Uttar Pradesh,UP,Mohanlalganj,1114848,1838194,60.6,14.42,847,56.6,2014
2658,Uttar Pradesh,UP,Faizabad,1022558,1738701,58.8,14.37,857,57.9,2014
2660,Uttar Pradesh,UP,Rae Bareli,696302,1174548,59.3,13.98,893,55.0,1999
2661,Uttar Pradesh,UP,Kairana,725682,1282551,56.6,14.06,819,52.8,2009
2662,Uttar Pradesh,UP,DOMARIAGANJ,643127,1350045,47.6,14.12,824,46.7,2004
2664,Uttar Pradesh,UP,Unnao,1199936,2164392,55.4,14.59,812,54.3,2014
2665,Uttar Pradesh,UP,Chandauli,738159,1340398,55.1,14.11,784,49.8,1999
2666,Uttar Pradesh,UP,Faizabad,749070,1500160,49.9,14.22,867,46.8,2009
2667,Uttar Pradesh,UP,Mirzapur,782304,1356017,57.7,14.12,843,49.5,1999
2668,Uttar Pradesh,UP,FATEHPUR,506655,1279387,39.6,14.06,839,31.9,2004
2669,Uttar Pradesh,UP,Akbarpur,637422,1461050,43.6,14.19,806,37.6,2009
2670,Uttar Pradesh,UP,Dhaurahra,759594,1269584,59.8,14.05,841,51.7,2009
2671,Uttar Pradesh,UP,Deoria,704710,1275208,55.3,14.06,815,54.3,1999
2672,Uttar Pradesh,UP,ROBERTSGANJ (SC),724797,1661132,43.6,14.32,855,36.9,2004
2673,Uttar Pradesh,UP,Sambhal,681739,1290810,52.8,14.07,832,46.1,2009
2675,Uttar Pradesh,UP,Ghazipur,743074,1300013,57.2,14.08,875,52.1,1999
2676,Uttar Pradesh,UP,Fatehpur,545594,1171111,46.6,13.97,811,46.8,1999
2677,Uttar Pradesh,UP,Robertsganj,598804,1214735,49.3,14.01,838,45.5,2009
2679,Uttar Pradesh,UP,Rampur,606173,1154544,52.5,13.96,854,46.1,2009
2680,Uttar Pradesh,UP,JAUNPUR,714077,1515676,47.1,14.23,860,44.1,2004
2682,Uttar Pradesh,UP,Khurja,489206,1271984,38.5,14.06,834,28.5,1999
2683,Uttar Pradesh,UP,HAPUR,799663,1806830,44.3,14.41,809,38.6,2004
2684,Uttar Pradesh,UP,Sambhal,1055817,1693229,62.4,14.34,817,59.9,2014
2687,Uttar Pradesh,UP,Bahraich,604614,1226445,49.3,14.02,820,52.5,1999
2688,Uttar Pradesh,UP,Rae Bareli,825130,1594954,51.7,14.28,859,52.6,2014
2689,Uttar Pradesh,UP,Maharajganj,685963,1129627,60.7,13.94,816,60.2,1999
2690,Uttar Pradesh,UP,SAMBHAL,759382,1249017,60.8,14.04,840,52.2,2004
2692,Uttar Pradesh,UP,Ghaziabad,1341818,2357553,56.9,14.67,769,54.6,2014
2694,Uttar Pradesh,UP,BAGHPAT,656864,1570374,41.8,14.27,769,31.5,2004
2695,Uttar Pradesh,UP,Ghaziabad,829493,1831688,45.3,14.42,765,41.8,2009
2696,Uttar Pradesh,UP,Pilibhit,1050342,1671154,62.9,14.33,850,60.5,2014
2697,Uttar Pradesh,UP,Saharanpur,1193086,1608833,74.2,14.29,842,73.5,2014
2698,Uttar Pradesh,UP,ALLAHABAD,656450,1558094,42.1,14.26,803,35.6,2004
2699,Uttar Pradesh,UP,Baghpat,1003611,1505175,66.7,14.22,769,64.4,2014
2700,Uttar Pradesh,UP,MATHURA,601855,1277346,47.1,14.06,800,38.2,2004
2702,Uttar Pradesh,UP,BULANDSHAHR,685228,1226141,55.9,14.02,843,50.3,2004
2703,Uttar Pradesh,UP,Kannauj,693752,1157142,60.0,13.96,803,59.2,1999
2704,Uttar Pradesh,UP,Amethi,638178,1110623,57.5,13.92,897,54.7,1999
2707,Uttar Pradesh,UP,Gonda,587726,1159190,50.7,13.96,818,43.3,1999
2708,Uttar Pradesh,UP,Firozabad,583195,1157680,50.4,13.96,803,42.5,1999
2710,Uttar Pradesh,UP,Jalaun,581802,1164371,50.0,13.97,807,48.9,1999
2712,Uttar Pradesh,UP,Lucknow,753961,1552441,48.6,14.26,851,42.7,1999
2713,Uttar Pradesh,UP,MUZAFFARNAGAR,862387,1521778,56.7,14.24,834,49.9,2004
2714,Uttar Pradesh,UP,Chandauli,979873,1593133,61.5,14.28,794,61.5,2014
2715,Uttar Pradesh,UP,PHULPUR,755173,1409517,53.6,14.16,835,48.4,2004
2716,Uttar Pradesh,UP,Kanpur,512796,1390055,36.9,14.14,800,30.4,2009
2717,Uttar Pradesh,UP,Bijnor,707845,1287070,55.0,14.07,828,51.3,2009
2718,Uttar Pradesh,UP,Baghpat,754521,1321056,57.1,14.09,823,60.7,1999
2719,Uttar Pradesh,UP,Basti,1048521,1787476,58.7,14.4,857,60.5,2014
2720,Uttar Pradesh,UP,Firozabad,684887,1422243,48.2,14.17,818,41.4,2009
2722,Uttar Pradesh,UP,Bijnor,1058170,1562081,67.7,14.26,841,67.6,2014
2723,Uttar Pradesh,UP,VARANASI,633729,1487696,42.6,14.21,818,35.8,2004
2725,Uttar Pradesh,UP,Sant kabir Nagar,801317,1694453,47.3,14.34,837,49.1,2009
2726,Uttar Pradesh,UP,Maharajganj,839569,1509167,55.6,14.23,860,56.2,2009
2730,Uttar Pradesh,UP,PILIBHIT,677095,1285919,52.7,14.07,864,42.3,2004
2732,Uttar Pradesh,UP,Khalilabad,672974,1215811,55.4,14.01,818,59.5,1999
2733,Uttar Pradesh,UP,Akbarpur,749450,1230232,60.9,14.02,837,60.0,1999
2734,Uttar Pradesh,UP,Pilibhit,756275,1139217,66.4,13.95,923,53.7,1999
2735,Uttar Pradesh,UP,Gorakhpur,750941,1696474,44.3,14.34,793,43.9,2009
2736,Uttar Pradesh,UP,Moradabad,760670,1388525,54.8,14.14,842,49.8,2009
2737,Uttar Pradesh,UP,Amroha,778257,1222239,63.7,14.02,785,58.4,1999
2740,Uttar Pradesh,UP,Pratapgarh,892732,1716394,52.0,14.36,859,55.2,2014
2741,Uttar Pradesh,UP,Muzaffarnagar,691547,1217407,56.8,14.01,818,49.1,1999
2743,Uttar Pradesh,UP,Barabanki,1068161,1721278,62.1,14.36,859,57.5,2014
2744,Uttar Pradesh,UP,Amethi,646642,1431787,45.2,14.17,903,42.9,2009
2745,Uttar Pradesh,UP,Kanpur,635651,1417761,44.8,14.16,683,40.9,1999
2746,Uttar Pradesh,UP,Kheri,708032,1297088,54.6,14.08,848,47.2,2009
2747,Uttar Pradesh,UP,Banda,589303,1158052,50.9,13.96,804,43.5,1999
2748,West Bengal,WB,Jhargram,803200,991504,81.0,13.81,982,77.4,1999
2750,West Bengal,WB,Jangipur,1118358,1391656,80.4,14.15,947,82.6,2014
2752,West Bengal,WB,Calcutta South,805268,1202607,67.0,14.0,811,63.4,1999
2754,West Bengal,WB,JOYNAGAR (SC),806749,1136859,71.0,13.94,960,66.7,2004
2755,West Bengal,WB,Kolkata Dakshin,1005841,1505638,66.8,14.22,833,65.6,2009
2756,West Bengal,WB,DUM DUM,1245065,1543705,80.7,14.25,891,77.1,2004
2757,West Bengal,WB,MATHURAPUR (SC),905415,1113351,81.3,13.92,966,71.2,2004
2759,West Bengal,WB,Balurghat,873769,1010224,86.5,13.83,906,86.0,2009
2760,West Bengal,WB,Mathurapur,1048039,1227376,85.4,14.02,931,84.4,2009
2761,West Bengal,WB,Kanthi,1123910,1249775,89.9,14.04,935,90.5,2009
2763,West Bengal,WB,Kolkata Uttar,875856,1366647,64.1,14.13,729,63.3,2009
2767,West Bengal,WB,Birbhum,734173,1043876,70.3,13.86,980,68.3,1999
2768,West Bengal,WB,Basirhat,1272897,1490596,85.4,14.21,916,83.6,2014
2772,West Bengal,WB,HOWRAH,909246,1240427,73.3,14.03,807,68.7,2004
2773,West Bengal,WB,CALCUTTA SOUTH,770828,1096709,70.3,13.91,848,68.9,2004
2774,West Bengal,WB,ALIPURDUARS (ST),837257,1045042,80.1,13.86,912,79.4,2004
2775,West Bengal,WB,Bankura,1234854,1503812,82.1,14.22,938,81.1,2014
2776,West Bengal,WB,RAIGANJ,913637,1147290,79.6,13.95,923,78.7,2004
2780,West Bengal,WB,Nabadwip,1014379,1320358,76.8,14.09,926,74.4,1999
2783,West Bengal,WB,Barasat,1043590,1303217,80.1,14.08,873,79.2,1999
2786,West Bengal,WB,Hooghly,930831,1160870,80.2,13.96,941,77.1,1999
2787,West Bengal,WB,Joynagar,815915,1116858,73.1,13.93,957,73.5,1999
2789,West Bengal,WB,Alipurduars,1222433,1470911,83.1,14.2,946,84.3,2014
2790,West Bengal,WB,BARRACKPORE,792471,981008,80.8,13.8,804,77.6,2004
2791,West Bengal,WB,Joynagar,915758,1143640,80.1,13.95,926,77.1,2009
2793,West Bengal,WB,Jadavpur,1005286,1403413,71.6,14.15,859,70.2,1999
2795,West Bengal,WB,Howrah,993356,1344746,73.9,14.11,837,70.2,2009
2796,West Bengal,WB,Alipurduars,777585,1039377,74.8,13.85,930,73.2,1999
2797,West Bengal,WB,Murshidabad,1288171,1512098,85.2,14.23,932,87.0,2014
2799,West Bengal,WB,Murshidabad,836120,1172830,71.3,13.97,967,66.9,1999
2800,West Bengal,WB,Berhampore,937646,1212554,77.3,14.01,969,73.9,1999
2801,West Bengal,WB,Hooghly,1347556,1630042,82.7,14.3,948,82.0,2014
2802,West Bengal,WB,Howrah,995422,1381960,72.0,14.14,778,68.3,1999
2803,West Bengal,WB,Diamond harbour,1260252,1555914,81.0,14.26,906,78.1,2014
2804,West Bengal,WB,BOLPUR,767695,1035012,74.2,13.85,968,69.4,2004
2805,West Bengal,WB,Uluberia,818915,1101065,74.4,13.91,950,68.3,1999
2806,West Bengal,WB,Vishnupur,846339,1071817,79.0,13.88,986,78.6,1999
2807,West Bengal,WB,Arambagh,944408,1143407,82.6,13.95,960,75.6,1999
2808,West Bengal,WB,Maldaha Dakshin,1089380,1347143,80.9,14.11,946,83.1,2014
2809,West Bengal,WB,Ranaghat,1349190,1602849,84.2,14.29,928,85.3,2014
2811,West Bengal,WB,Durgapur,885335,1212641,73.0,14.01,908,75.5,1999
2812,West Bengal,WB,ASANSOL,724790,1092141,66.4,13.9,811,60.8,2004
2814,West Bengal,WB,DARJEELING,886298,1249238,70.9,14.04,925,69.6,2004
2815,West Bengal,WB,Burdwan,984678,1216764,80.9,14.01,981,80.5,1999
2816,West Bengal,WB,KATWA,963689,1169525,82.4,13.97,948,80.1,2004
2817,West Bengal,WB,Srerampur,1080683,1395570,77.4,14.15,897,75.4,2009
2818,West Bengal,WB,Cooch Behar,902487,1116523,80.8,13.93,952,80.7,1999
2820,West Bengal,WB,Ghatal,1169328,1354861,86.3,14.12,948,87.1,2009
2821,West Bengal,WB,DURGAPUR (SC),844777,1150939,73.4,13.96,902,68.9,2004
2826,West Bengal,WB,Katwa,933089,1183616,78.8,13.98,973,77.5,1999
2828,West Bengal,WB,BIRBHUM (SC),721560,1029870,70.1,13.84,954,65.3,2004
2832,West Bengal,WB,Birbhum,1274936,1495089,85.3,14.22,933,83.8,2014
2834,West Bengal,WB,Barrackpore,1048722,1287222,81.5,14.07,886,79.6,2014
2835,West Bengal,WB,Arambagh,1163058,1375377,84.6,14.13,922,83.9,2009
2837,West Bengal,WB,Jadavpur,1271994,1595746,79.7,14.28,967,77.2,2014
2839,West Bengal,WB,Jangipur,933540,1087054,85.9,13.9,935,86.2,2009
2842,West Bengal,WB,Joynagar,1188545,1458724,81.5,14.19,925,79.3,2014
2844,West Bengal,WB,Barrackpore,868934,1081237,80.4,13.89,823,79.5,2009
2845,West Bengal,WB,Balurghat,1061080,1254497,84.6,14.04,919,85.4,2014
2846,West Bengal,WB,Tamluk,919886,1098196,83.8,13.91,962,82.7,1999
2848,West Bengal,WB,Basirhat,866835,1071134,80.9,13.88,952,80.8,1999
2849,West Bengal,WB,Jadavpur,1083603,1331537,81.4,14.1,946,78.6,2009
2854,West Bengal,WB,Burdwan - durgapur,1133814,1353380,83.8,14.12,908,82.8,2009
2857,West Bengal,WB,VISHNUPUR (SC),803360,1052852,76.3,13.87,965,73.0,2004
2862,West Bengal,WB,TAMLUK,1030848,1185781,86.9,13.99,946,86.6,2004
2864,West Bengal,WB,Maldaha Uttar ,1161152,1425428,81.5,14.17,924,85.1,2014
2865,West Bengal,WB,PANSKURA,871449,1061186,82.1,13.87,982,81.2,2004
2866,West Bengal,WB,Krishnagar,845489,1084449,78.0,13.9,928,74.6,1999
2868,West Bengal,WB,Jalpaiguri,844223,1101898,76.6,13.91,911,74.7,1999
2869,West Bengal,WB,Contai,823941,990917,83.1,13.81,971,82.7,1999
2870,West Bengal,WB,Bankura,741303,1041325,71.2,13.86,956,71.3,1999
2871,West Bengal,WB,Krishnanagar,1044007,1223082,85.4,14.02,901,85.7,2009
2873,West Bengal,WB,Calcutta North East,658740,924613,71.2,13.74,700,69.5,1999
2874,West Bengal,WB,Bolpur,1303462,1538421,84.7,14.25,927,84.0,2014
2875,West Bengal,WB,Dum dum,974458,1212220,80.4,14.01,911,78.2,2009
2876,West Bengal,WB,PURULIA,694449,992438,70.0,13.81,968,65.9,2004
2877,West Bengal,WB,HOOGHLY,919683,1161683,79.2,13.97,941,76.6,2004
2878,West Bengal,WB,BERHAMPORE,987380,1220502,80.9,14.01,955,79.5,2004
2879,West Bengal,WB,Kolkata Dakshin,1166625,1685296,69.2,14.34,893,67.9,2014
2881,West Bengal,WB,Jalpaiguri,1029806,1252142,82.2,14.04,889,80.8,2009
2882,West Bengal,WB,Cooch behar,1119073,1329086,84.2,14.1,898,84.5,2009
2883,West Bengal,WB,Raiganj,896087,1108382,80.8,13.92,900,81.9,2009
2885,West Bengal,WB,Jhargram,1256336,1475112,85.2,14.2,957,84.6,2014
2887,West Bengal,WB,Mathurapur,1269716,1488785,85.3,14.21,928,84.8,2014
2888,West Bengal,WB,Calcutta North West,444043,704009,63.1,13.46,588,58.9,1999
2890,West Bengal,WB,Dum dum,1129404,1405981,80.3,14.16,965,78.1,2014
2892,West Bengal,WB,Barasat,1265746,1512792,83.7,14.23,954,80.8,2014
2894,West Bengal,WB,Purulia,692271,1008066,68.7,13.82,984,64.3,1999
2895,West Bengal,WB,Bishnupur,1270731,1466921,86.6,14.2,932,85.3,2014
2896,West Bengal,WB,Dum Dum,1209926,1598044,75.7,14.28,878,75.7,1999
2897,West Bengal,WB,Kolkata Uttar,954783,1433985,66.6,14.18,798,66.0,2014
2898,West Bengal,WB,Baharampur,1154070,1453783,79.4,14.19,931,81.3,2014
2899,West Bengal,WB,Maldaha Dakshin,827558,1052093,78.7,13.87,928,79.4,2009
2901,West Bengal,WB,Bolpur,792871,1037427,76.4,13.85,991,76.6,1999
2902,West Bengal,WB,Mathurapur,828886,1076730,77.0,13.89,969,71.7,1999
2904,West Bengal,WB,JALPAIGURI,884971,1104784,80.1,13.92,885,77.8,2004
2906,West Bengal,WB,Asansol,1142518,1469684,77.7,14.2,856,75.1,2014
2908,West Bengal,WB,Barrackpore,845189,1040220,81.3,13.85,805,80.9,1999
2911,West Bengal,WB,Darjeeling,1140907,1437154,79.4,14.18,950,79.1,2014
2912,West Bengal,WB,Basirhat,1037866,1198579,86.6,14.0,892,84.9,2009
2913,West Bengal,WB,Cooch behar,1329133,1613403,82.4,14.29,901,83.9,2014
2914,West Bengal,WB,Malda,819770,1047279,78.3,13.86,964,76.8,1999
2915,West Bengal,WB,JADAVPUR,1019775,1354946,75.3,14.12,893,79.3,2004
2917,West Bengal,WB,Bankura,983332,1268563,77.5,14.05,920,75.3,2009
2918,West Bengal,WB,Serampore,925995,1325375,69.9,14.1,896,67.7,1999
2919,West Bengal,WB,BALURGHAT (SC),920808,1129369,81.5,13.94,913,78.8,2004
2921,West Bengal,WB,JANGIPUR,881248,1082151,81.4,13.89,962,81.1,2004
2922,West Bengal,WB,Alipurduars,932441,1229301,75.9,14.02,920,76.2,2009
2923,West Bengal,WB,MURSHIDABAD,1003469,1197170,83.8,14.0,932,83.8,2004
2926,West Bengal,WB,Kanthi,1290235,1490409,86.6,14.21,917,87.8,2014
2928,West Bengal,WB,ARAMBAGH,961186,1187610,80.9,13.99,958,77.3,2004
2929,West Bengal,WB,MIDNAPORE,905208,1152887,78.5,13.96,965,76.5,2004
2930,West Bengal,WB,Srerampur,1289387,1624038,79.4,14.3,915,78.4,2014
2931,West Bengal,WB,Asansol,893477,1250052,71.5,14.04,813,66.9,2009
2934,West Bengal,WB,Purulia,903495,1257799,71.8,14.04,938,69.6,2009
2935,West Bengal,WB,Medinipur,1041222,1262983,82.4,14.05,950,81.6,2009
2936,West Bengal,WB,Jhargram,957908,1241574,77.2,14.03,962,75.3,2009
2937,West Bengal,WB,Birbhum,1016991,1221893,83.2,14.02,920,81.2,2009
2938,West Bengal,WB,BANKURA,691958,1020046,67.8,13.84,934,63.3,2004
2939,West Bengal,WB,Tamluk,1335058,1527273,87.4,14.24,917,89.1,2014
2940,West Bengal,WB,Bardhaman Purba,1320152,1532244,86.2,14.24,926,86.5,2014
2941,West Bengal,WB,Diamond harbour,1053619,1302398,80.9,14.08,879,77.3,2009
2942,West Bengal,WB,Ghatal,1366019,1610489,84.8,14.29,927,87.1,2014
2943,West Bengal,WB,Raiganj,1106586,1387526,79.8,14.14,916,81.8,2014
2944,West Bengal,WB,Diamond Harbour,858209,1136879,75.5,13.94,864,78.4,1999
2945,West Bengal,WB,Tamluk,1147805,1271230,90.3,14.06,926,91.1,2009
2946,West Bengal,WB,Bangaon,1077646,1246979,86.4,14.04,915,81.6,2009
2947,West Bengal,WB,BASIRHAT,906003,1107129,81.8,13.92,915,79.2,2004
2948,West Bengal,WB,Medinipur,1260778,1499673,84.1,14.22,947,84.1,2014
2950,West Bengal,WB,Jangipur,785797,1087203,72.3,13.9,1012,69.4,1999
2951,West Bengal,WB,Purulia,1201309,1471933,81.6,14.2,925,81.2,2014
2952,West Bengal,WB,Hooghly,1161184,1405684,82.6,14.16,935,81.3,2009
2953,West Bengal,WB,BURDWAN,994003,1221820,81.4,14.02,963,77.9,2004
2955,West Bengal,WB,MALDA,844032,1088411,77.5,13.9,945,77.4,2004
2956,West Bengal,WB,Jalpaiguri,1301231,1531469,85.0,14.24,925,85.0,2014
2957,West Bengal,WB,Barasat,1024008,1226654,83.5,14.02,916,81.0,2009
2958,West Bengal,WB,KRISHNAGAR,924304,1117441,82.7,13.93,896,81.1,2004
2959,West Bengal,WB,DIAMOND HARBOUR,835475,1102946,75.7,13.91,879,71.9,2004
2960,West Bengal,WB,Krishnanagar ,1246629,1476783,84.4,14.21,918,86.0,2014
2961,West Bengal,WB,Panskura,824564,986955,83.5,13.8,986,82.8,1999
2962,West Bengal,WB,Darjeeling,590023,1276753,46.2,14.06,923,44.1,1999
2964,West Bengal,WB,Howrah,1125035,1505099,74.7,14.22,875,71.6,2014
2965,West Bengal,WB,NABADWIP (SC),1171667,1389486,84.3,14.14,903,83.2,2004
2966,West Bengal,WB,Bishnupur,1053705,1237948,85.1,14.03,913,82.6,2009
2968,West Bengal,WB,Bolpur,1078417,1307730,82.5,14.08,936,80.6,2009
2969,West Bengal,WB,COOCH BEHAR (SC),947381,1148934,82.5,13.95,922,81.9,2004
2970,West Bengal,WB,Arambagh,1361384,1600293,85.1,14.29,920,85.3,2014
