,StateName,stateabb,ST_CODE,bigstate,PCNAME,m_electors,f_electors,t_electors,m_voters,f_voters,t_voters,year,n,L,f_voters_turnout,m_voters_turnout,voters_turnout,log_electors,sex_ratio
292,Assam,AS,S03,1,Kokrajhar,776151,729307,1505472,636473.0,587031.0,1223504,2014,49,,80.5,82.00375957771104,81.3,14.22,940
300,Assam,AS,S03,1,Barpeta,755566,674622,1430188,634466.0,571414.0,1205880,2014,50,,84.7,83.97228038318293,84.3,14.17,893
301,Assam,AS,S03,1,Tezpur,654866,604702,1259568,505481.0,475043.0,980524,2014,53,,78.6,77.1884629832668,77.8,14.05,923
314,Assam,AS,S03,1,Jorhat,611283,578203,1189486,483784.0,447088.0,930872,2014,56,,77.3,79.14239394846577,78.3,13.99,946
319,Assam,AS,S03,1,Lakhimpur,735340,695740,1431080,572467.0,539555.0,1112022,2014,58,,77.6,77.85065411918296,77.7,14.17,946
327,Assam,AS,S03,1,Dhubri,797235,752931,1550166,709038.0,660085.0,1369123,2014,48,,87.7,88.93713898662251,88.3,14.25,944
334,Assam,AS,S03,1,Gauhati,988067,934203,1922270,784535.0,727081.0,1511616,2014,51,,77.8,79.40099203798933,78.6,14.47,945
335,Assam,AS,S03,1,Nowgong,792425,731446,1523881,639499.0,590545.0,1230044,2014,54,,80.7,80.70151749376913,80.7,14.24,923
336,Assam,AS,S03,1,Mangaldoi,791539,724137,1515676,651247.0,581802.0,1233049,2014,52,,80.3,82.27604704253359,81.4,14.23,915
339,Assam,AS,S03,1,Dibrugarh,579658,544647,1124305,462187.0,428637.0,890824,2014,57,,78.7,79.7344296119436,79.2,13.93,940
342,Assam,AS,S03,1,Karimganj,615198,550799,1165997,481673.0,404641.0,886314,2014,45,,73.5,78.29560564241106,76.0,13.97,895
351,Bihar,BH,S04,1,Munger,937897,782040,1719984,505931.0,408329.0,914268,2014,86,,52.2,53.94313021579129,53.2,14.36,834
361,Bihar,BH,S04,1,Karakat,849474,730224,1580558,457406.0,332394.0,789800,2014,93,,45.5,53.84579163105639,50.0,14.27,860
385,Bihar,BH,S04,1,Purvi Champaran,779657,659560,1439253,442071.0,380577.0,822648,2014,61,,57.7,56.70070300144807,57.2,14.18,846
391,Bihar,BH,S04,1,Madhepura,899152,826507,1725693,508782.0,525869.0,1034651,2014,71,,63.6,56.58464864672491,60.0,14.36,919
394,Bihar,BH,S04,1,Araria,843076,744212,1587332,492513.0,483291.0,975804,2014,67,,64.9,58.41857673566796,61.5,14.28,883
395,Bihar,BH,S04,1,Siwan,841735,722100,1563860,443827.0,440178.0,884005,2014,76,,61.0,52.72763993418356,56.5,14.26,858
403,Bihar,BH,S04,1,Arrah,1016299,808210,1824515,517499.0,375555.0,893054,2014,90,,46.5,50.91995564297515,48.9,14.42,795
407,Bihar,BH,S04,1,Ujiarpur,764186,662004,1426217,433858.0,425047.0,858905,2014,80,,64.2,56.77387442324251,60.2,14.17,866
431,Bihar,BH,S04,1,Gopalganj (SC),871590,783212,1654838,444922.0,458639.0,903561,2014,75,,58.6,51.04716667240331,54.6,14.32,899
433,Bihar,BH,S04,1,Jamui (SC),828406,722499,1550936,415589.0,360008.0,775597,2014,98,,49.8,50.16730926622937,50.0,14.25,872
436,Bihar,BH,S04,1,Begusarai,949825,828874,1778759,545214.0,532151.0,1077365,2014,82,,64.2,57.4015213328771,60.6,14.39,873
437,Bihar,BH,S04,1,Sheohar,792374,693355,1485801,433327.0,409336.0,842663,2014,62,,59.0,54.68718054857933,56.7,14.21,875
453,Bihar,BH,S04,1,Pataliputra,934086,801923,1736074,553018.0,423797.0,976815,2014,89,,52.8,59.20418462539851,56.3,14.37,859
482,Bihar,BH,S04,1,Kishanganj,762874,676103,1438990,471096.0,457126.0,928222,2014,68,,67.6,61.75279272855019,64.5,14.18,886
487,Bihar,BH,S04,1,Nalanda,1036575,915392,1951967,503039.0,418609.0,921648,2014,87,,45.7,48.52895352482937,47.2,14.48,883
