,StateName,stateabb,ST_CODE,bigstate,PCNAME,m_electors,f_electors,t_electors,m_voters,f_voters,t_voters,year,n,L,Representation
482,Bihar,BH,S04,1,Kishanganj,762874,676103,1438990,471096.0,457126.0,928222,2014,68,,1
487,Bihar,BH,S04,1,Nalanda,1036575,915392,1951967,503039.0,418609.0,921648,2014,87,,0
490,Bihar,BH,S04,1,Saran,832441,706266,1538740,450511.0,411954.0,862465,2014,78,,0
492,Bihar,BH,S04,1,Muzaffarpur,830943,720390,1551363,490949.0,457916.0,948865,2014,73,,0
493,Bihar,BH,S04,1,Darbhanga,797254,698177,1495445,407516.0,421741.0,829257,2014,72,,1
498,Bihar,BH,S04,1,Madhubani,878017,749809,1627832,413708.0,446640.0,860348,2014,64,,0
499,Bihar,BH,S04,1,Maharajganj,874822,767218,1642068,420232.0,426095.0,846327,2014,77,,0
500,Bihar,BH,S04,1,Jhanjharpur,895570,772835,1668405,450499.0,490640.0,941139,2014,65,,0
512,Bihar,BH,S04,1,Gaya (SC),799210,702311,1501521,442912.0,364010.0,806922,2014,96,,1
513,Bihar,BH,S04,1,Aurangabad,825574,710533,1536153,429944.0,355719.0,785663,2014,95,,0
514,Bihar,BH,S04,1,Khagaria,800786,705750,1506587,445941.0,450160.0,896101,2014,83,,1
515,Bihar,BH,S04,1,Patna Sahib,1052278,893885,1946249,510480.0,369747.0,880227,2014,88,,0
516,Bihar,BH,S04,1,Jahanabad,751585,671629,1423246,445501.0,365502.0,811003,2014,94,,1
522,Bihar,BH,S04,1,Katihar,769044,677392,1446478,495600.0,481934.0,977534,2014,69,,1
525,Bihar,BH,S04,1,Banka,824924,724490,1549456,461297.0,438021.0,899318,2014,85,,0
531,Bihar,BH,S04,1,Valmiki Nagar ,786312,670236,1456598,484433.0,415396.0,899838,2014,59,,1
532,Bihar,BH,S04,1,Paschim Champaran,769411,643703,1413148,469048.0,385593.0,854641,2014,60,,1
533,Bihar,BH,S04,1,Vaishali,841773,724500,1566321,480759.0,445167.0,925926,2014,74,,0
535,Bihar,BH,S04,1,Samastipur (SC),802420,702007,1504451,430782.0,432401.0,863183,2014,81,,1
536,Bihar,BH,S04,1,Bhagalpur,895185,790098,1685339,522417.0,451535.0,973953,2014,84,,0
539,Bihar,BH,S04,1,Sitamarhi,832370,742498,1574914,448849.0,451628.0,900477,2014,63,,0
548,Bihar,BH,S04,1,Buxar,877699,762929,1640671,494435.0,394512.0,888947,2014,91,,0
557,Bihar,BH,S04,1,Sasaram (SC) ,859397,748291,1607747,448672.0,397016.0,845688,2014,92,,0
567,Bihar,BH,S04,1,Nawada,897821,797019,1694895,478247.0,406136.0,884383,2014,97,,0
568,Bihar,BH,S04,1,Purnia,826834,755758,1582626,511262.0,506106.0,1017368,2014,70,,0
572,Bihar,BH,S04,1,Hajipur (SC),895047,754452,1649547,478157.0,425876.0,904033,2014,79,,0
581,Bihar,BH,S04,1,Supaul,797373,728185,1525583,468476.0,502044.0,970520,2014,66,,1
594,Goa,GA,S05,2,North Goa,255870,259571,515441,199489.0,205701.0,405190,2014,99,,1
595,Goa,GA,S05,2,South Goa,272438,272898,545336,195128.0,214329.0,409457,2014,100,,1
606,Gujarat,GJ,S06,1,Sabarkantha,833521,782318,1615840,583583.0,502387.0,1085970,2014,105,,0
613,Gujarat,GJ,S06,1,Surendranagar,877745,778910,1656657,539246.0,399328.0,938575,2014,109,,0
622,Gujarat,GJ,S06,1,Surat,803829,680212,1484068,538576.0,407928.0,946507,2014,124,,1
629,Gujarat,GJ,S06,1,Amreli,777662,708624,1486286,455668.0,349837.0,805505,2014,114,,1
637,Gujarat,GJ,S06,1,Panchmahal,820230,756434,1576667,512435.0,414555.0,926990,2014,118,,0
640,Gujarat,GJ,S06,1,Banaskantha,796124,719587,1515711,511698.0,371518.0,883216,2014,102,,1
641,Gujarat,GJ,S06,1,Bharuch,734862,682658,1417548,562549.0,493760.0,1056319,2014,122,,1
656,Gujarat,GJ,S06,1,Chhota Udaipur,798160,738143,1536305,590131.0,504411.0,1094542,2014,121,,0
659,Gujarat,GJ,S06,1,Bhavnagar,834571,759936,1594531,516968.0,396013.0,912992,2014,115,,0
660,Gujarat,GJ,S06,1,Kachchh,806343,727439,1533782,519100.0,423463.0,942563,2014,101,,1
676,Gujarat,GJ,S06,1,Porbandar,807383,731833,1539223,468592.0,335821.0,804415,2014,111,,0
687,Gujarat,GJ,S06,1,Kheda,833232,766227,1599476,540239.0,411083.0,951323,2014,117,,0
688,Gujarat,GJ,S06,1,Vadodara,849077,789218,1638321,621926.0,533715.0,1155656,2014,120,,0
695,Gujarat,GJ,S06,1,Rajkot,864760,790949,1655717,590854.0,461740.0,1052595,2014,110,,0
702,Gujarat,GJ,S06,1,Patan,846195,782446,1628641,525799.0,423880.0,949679,2014,103,,0
704,Gujarat,GJ,S06,1,Ahmedabad West,800933,733462,1534400,531702.0,428771.0,960475,2014,108,,1
705,Gujarat,GJ,S06,1,Ahmedabad East,852765,749057,1601832,557279.0,422980.0,980265,2014,107,,0
708,Gujarat,GJ,S06,1,Jamnagar,771003,699937,1470952,484080.0,364974.0,849055,2014,112,,1
709,Gujarat,GJ,S06,1,Junagadh,772017,713524,1485543,513928.0,423553.0,937481,2014,113,,1
715,Gujarat,GJ,S06,1,Bardoli,829648,784448,1614106,636398.0,567973.0,1204371,2014,123,,0
721,Gujarat,GJ,S06,1,Dahod,712183,699578,1411765,466791.0,428519.0,895311,2014,119,,1
722,Gujarat,GJ,S06,1,Mahesana,777821,720375,1498219,541116.0,456612.0,997735,2014,104,,1
730,Gujarat,GJ,S06,1,Valsad,775073,736988,1512061,580599.0,538185.0,1118784,2014,126,,1
735,Gujarat,GJ,S06,1,Anand,781118,715737,1496859,539236.0,427943.0,967179,2014,116,,1
738,Gujarat,GJ,S06,1,Gandhinagar,900744,833210,1733972,617164.0,511490.0,1128656,2014,106,,0
750,Gujarat,GJ,S06,1,Navsari,972090,792480,1764622,644265.0,512736.0,1157014,2014,125,,0
762,Haryana,HR,S07,1,Bhiwani-Mahendragarh,792166,681746,1473912,559428.0,470289.0,1029717,2014,134,,1
766,Haryana,HR,S07,1,Sonipat,777824,639364,1417188,551189.0,434412.0,985601,2014,132,,1
769,Haryana,HR,S07,1,Sirsa,886303,774254,1660557,692765.0,586098.0,1278863,2014,129,,0
770,Haryana,HR,S07,1,Karnal,913321,771000,1684321,666729.0,526629.0,1193358,2014,131,,0
789,Haryana,HR,S07,1,Gurgaon,984370,860536,1844906,727100.0,593187.0,1320287,2014,135,,0
790,Haryana,HR,S07,1,Ambala,909641,782783,1692424,667712.0,551882.0,1219594,2014,127,,0
791,Haryana,HR,S07,1,Hisar,825688,691918,1517606,637448.0,518049.0,1155497,2014,130,,1
795,Haryana,HR,S07,1,Kurukshetra,807700,690759,1498459,618481.0,517170.0,1135651,2014,128,,1
796,Haryana,HR,S07,1,Faridabad,969407,770945,1740352,651241.0,479430.0,1130671,2014,136,,0
803,Haryana,HR,S07,1,Rohtak,850127,717381,1567508,578206.0,465772.0,1043978,2014,133,,0
827,Himachal Pradesh,HP,S08,2,Hamirpur,633572,614126,1247699,394620.0,438467.0,833087,2014,139,,1
830,Himachal Pradesh,HP,S08,2,Shimla,607137,546225,1153363,403062.0,333715.0,736777,2014,140,,1
835,Himachal Pradesh,HP,S08,2,Mandi,587833,562575,1150408,377093.0,347977.0,725070,2014,138,,1
838,Himachal Pradesh,HP,S08,2,Kangra,645888,612713,1258601,389575.0,408414.0,797989,2014,137,,1
841,Jammu & Kashmir,JK,S09,2,Jammu,977308,870834,1848155,665098.0,587601.0,1252699,2014,146,,0
854,Jammu & Kashmir,JK,S09,2,Baramulla,624014,566724,1190766,256288.0,209691.0,465979,2014,141,,1
856,Jammu & Kashmir,JK,S09,2,Srinagar,631520,575702,1207230,178779.0,133429.0,312208,2014,142,,1
857,Jammu & Kashmir,JK,S09,2,Anantnag,685000,616104,1301143,211595.0,163643.0,375238,2014,143,,1
865,Jammu & Kashmir,JK,S09,2,Udhampur,787637,681434,1469072,556791.0,484338.0,1041130,2014,145,,1
869,Jammu & Kashmir,JK,S09,2,Ladakh,86256,80503,166763,57162.0,60002.0,117164,2014,144,,1
890,Karnataka,KA,S10,1,Davanagere,772126,750480,1522712,581109.0,533385.0,1114494,2014,159,,1
891,Karnataka,KA,S10,1,Bangalore North,1260356,1140751,2401472,720898.0,634569.0,1355485,2014,170,,0
892,Karnataka,KA,S10,1,Bijapur,847815,774643,1622635,521090.0,445637.0,966734,2014,150,,0
901,Karnataka,KA,S10,1,Chikkodi,746023,696120,1442206,564052.0,506614.0,1070668,2014,147,,1
904,Karnataka,KA,S10,1,Chitradurga,844869,816317,1661277,572567.0,524303.0,1096871,2014,164,,0
905,Karnataka,KA,S10,1,Dakshina Kannada,774454,790765,1565219,595446.0,611674.0,1207120,2014,163,,0
917,Karnataka,KA,S10,1,Mysore,867893,855100,1723134,596311.0,561022.0,1157346,2014,167,,0
920,Karnataka,KA,S10,1,Chamarajanagar,789384,766336,1555781,585063.0,547426.0,1132497,2014,168,,0
928,Karnataka,KA,S10,1,Uttara Kannada,742865,707704,1450599,521220.0,479217.0,1000437,2014,158,,1
941,Karnataka,KA,S10,1,Chikkballapur ,843790,814500,1658410,652727.0,608718.0,1261451,2014,173,,0
947,Karnataka,KA,S10,1,Shimoga,778782,783379,1562243,572307.0,556790.0,1129107,2014,160,,0
950,Karnataka,KA,S10,1,Dharwad,808768,769269,1578125,562867.0,477563.0,1040430,2014,157,,0
956,Karnataka,KA,S10,1,Udupi Chikmagalur,679285,707947,1387294,510562.0,522488.0,1033051,2014,161,,1
957,Karnataka,KA,S10,1,Koppal,770316,764694,1535105,526117.0,480597.0,1006716,2014,154,,1
958,Karnataka,KA,S10,1,Kolar,755450,737386,1492977,581924.0,544042.0,1125973,2014,174,,1
962,Karnataka,KA,S10,1,Bangalore South,1050737,947667,1998724,596688.0,516207.0,1112914,2014,172,,0
969,Karnataka,KA,S10,1,Mandya,839052,830121,1669262,604491.0,587306.0,1191805,2014,166,,0
975,Karnataka,KA,S10,1,Raichur,835969,825327,1661606,501122.0,467391.0,968513,2014,152,,0
978,Karnataka,KA,S10,1,Belgaum,807485,773259,1580895,569642.0,508074.0,1077716,2014,148,,0
980,Karnataka,KA,S10,1,Hassan,789847,771551,1561486,585749.0,560755.0,1146508,2014,162,,0
986,Karnataka,KA,S10,1,Bellary,750789,737003,1487945,541905.0,503534.0,1045448,2014,155,,1
988,Karnataka,KA,S10,1,Bidar,839154,761738,1600962,508036.0,454615.0,962652,2014,153,,0
989,Karnataka,KA,S10,1,Bangalore central,1010478,920679,1931456,573657.0,500273.0,1073957,2014,171,,0
991,Karnataka,KA,S10,1,Gulbarga,878311,843454,1721990,522778.0,474347.0,997125,2014,151,,0
995,Karnataka,KA,S10,1,Bagalkot,793354,775172,1568633,561494.0,517311.0,1078805,2014,149,,0
1021,Karnataka,KA,S10,1,Tumkur,764561,753839,1518518,565126.0,535597.0,1100735,2014,165,,1
1035,Karnataka,KA,S10,1,Haveri,807076,751596,1558749,594946.0,520512.0,1115458,2014,156,,0
1036,Karnataka,KA,S10,1,Bangalore Rural,1135853,1054284,2190398,758651.0,696340.0,1455003,2014,169,,0
1072,Kerala,KL,S11,1,Kozhikode,571709,610775,1182484,456299.0,484028.0,940327,2014,179,,1
1077,Kerala,KL,S11,1,Ernakulam,565836,590656,1156492,428604.0,421361.0,849965,2014,186,,1
1080,Kerala,KL,S11,1,Thiruvananthapuram,614438,658310,1272748,433243.0,437404.0,870647,2014,194,,1
1082,Kerala,KL,S11,1,Attingal,575780,675618,1251398,394491.0,462016.0,856507,2014,193,,1
1084,Kerala,KL,S11,1,Vadakara,561168,621336,1182504,436972.0,520810.0,957782,2014,177,,1
1085,Kerala,KL,S11,1,Kottayam,573572,587893,1161465,426604.0,404356.0,830960,2014,188,,1
1088,Kerala,KL,S11,1,Alappuzha,611877,659447,1271324,477034.0,517975.0,995009,2014,189,,1
1090,Kerala,KL,S11,1,Kannur,548454,621812,1170266,438891.0,506993.0,945884,2014,176,,1
1091,Kerala,KL,S11,1,Ponnani,574106,606683,1180789,405012.0,466307.0,871319,2014,181,,1
1108,Kerala,KL,S11,1,Thrissur,606518,668770,1275288,433933.0,485624.0,919557,2014,184,,1
1113,Kerala,KL,S11,1,Wayanad,614822,634598,1249420,454055.0,460171.0,914226,2014,178,,1
1115,Kerala,KL,S11,1,Malappuram,598207,600237,1198444,415672.0,437264.0,852936,2014,180,,1
1121,Kerala,KL,S11,1,Idukki,578849,579886,1158735,424879.0,394103.0,818982,2014,187,,1
1125,Kerala,KL,S11,1,Palakkad,587366,621360,1208726,444249.0,465167.0,909416,2014,182,,1
1129,Kerala,KL,S11,1,Kollam,575296,644119,1219415,406898.0,469024.0,875922,2014,192,,1
1131,Kerala,KL,S11,1,Kasaragod,595047,648683,1243730,459280.0,514333.0,973613,2014,175,,1
1144,Kerala,KL,S11,1,Mavelikkara,592702,659966,1252668,416193.0,470987.0,887180,2014,190,,1
1150,Kerala,KL,S11,1,Pathanamthitta,631495,692411,1323906,425887.0,444099.0,869986,2014,191,,1
1156,Kerala,KL,S11,1,Alathur,591950,624401,1216351,452923.0,474384.0,927307,2014,183,,1
1161,Kerala,KL,S11,1,Chalakudy,565083,585414,1150497,437197.0,446915.0,884112,2014,185,,1
1164,Madhya Pradesh,MP,S12,1,DEWAS,843528,773563,1617111,653540.0,489442.0,1142982,2014,215,,0
1174,Madhya Pradesh,MP,S12,1,MANDSOUR,838141,788383,1626556,639978.0,520386.0,1160374,2014,217,,0
1175,Madhya Pradesh,MP,S12,1,GUNA,857327,748265,1605613,580802.0,394613.0,975415,2014,198,,0
1178,Madhya Pradesh,MP,S12,1,TIKAMGARH,820670,708167,1528863,466852.0,299542.0,766398,2014,200,,1
1181,Madhya Pradesh,MP,S12,1,REWA,821800,722919,1544719,457628.0,372259.0,829887,2014,204,,0
1184,Madhya Pradesh,MP,S12,1,DAMOH,882818,768760,1651614,558821.0,354514.0,913336,2014,201,,0
1190,Madhya Pradesh,MP,S12,1,RATLAM,860924,841625,1702576,569214.0,511452.0,1080666,2014,218,,0
1194,Madhya Pradesh,MP,S12,1,UJJAIN,790889,734560,1525481,571019.0,444831.0,1015857,2014,216,,1
1201,Madhya Pradesh,MP,S12,1,KHAJURAHO,907340,795472,1702833,517233.0,357041.0,874283,2014,202,,0
1204,Madhya Pradesh,MP,S12,1,SATNA,772234,686123,1458381,499873.0,413407.0,913280,2014,203,,1
1215,Madhya Pradesh,MP,S12,1,INDORE,1106595,1008635,2115303,736204.0,579670.0,1315896,2014,220,,0
1226,Madhya Pradesh,MP,S12,1,SIDHI,915799,820208,1736048,547499.0,441120.0,988619,2014,205,,0
1229,Madhya Pradesh,MP,S12,1,VIDISHA,872100,761915,1634039,619102.0,453345.0,1072447,2014,212,,0
1240,Madhya Pradesh,MP,S12,1,SHAHDOL,806746,754219,1561016,527809.0,440179.0,967988,2014,206,,0
1243,Madhya Pradesh,MP,S12,1,SAGAR,815511,704754,1520322,536897.0,354866.0,891772,2014,199,,1
1244,Madhya Pradesh,MP,S12,1,GWALIOR,1023937,852908,1876965,594606.0,395609.0,990230,2014,197,,0
1250,Madhya Pradesh,MP,S12,1,JABALPUR,898045,813502,1711621,558905.0,443227.0,1002132,2014,207,,0
1251,Madhya Pradesh,MP,S12,1,DHAR,858093,810302,1668441,586698.0,489232.0,1075930,2014,219,,0
1252,Madhya Pradesh,MP,S12,1,BALAGHAT,822670,807049,1629741,570388.0,540968.0,1111356,2014,209,,0
1262,Madhya Pradesh,MP,S12,1,MANDLA,926166,898514,1824702,641219.0,575693.0,1216914,2014,208,,0
1283,Madhya Pradesh,MP,S12,1,CHHINDWARA,722052,679956,1402038,584697.0,522618.0,1107315,2014,210,,1
1285,Madhya Pradesh,MP,S12,1,MORENA,938787,763635,1702457,538721.0,315516.0,854238,2014,195,,0
1290,Madhya Pradesh,MP,S12,1,RAJGARH,827021,751717,1578757,597753.0,412196.0,1009952,2014,214,,0
1311,Madhya Pradesh,MP,S12,1,HOSHANGABAD,835566,732614,1568206,593375.0,436990.0,1030365,2014,211,,0
1326,Madhya Pradesh,MP,S12,1,BHOPAL,1039153,918021,1957241,639634.0,490428.0,1130069,2014,213,,0
1329,Madhya Pradesh,MP,S12,1,BETUL,836846,770954,1607831,573928.0,473282.0,1047231,2014,223,,0
1330,Madhya Pradesh,MP,S12,1,BHIND,892173,707938,1600137,469662.0,259501.0,729163,2014,196,,0
1331,Madhya Pradesh,MP,S12,1,KHANDWA,912764,846610,1759417,677300.0,578287.0,1255596,2014,222,,0
1332,Madhya Pradesh,MP,S12,1,KHARGONE,866905,836341,1703272,613926.0,537792.0,1151722,2014,221,,0
1363,Maharashtra,MH,S13,1,Madha,912715,814603,1727322,594868.0,483305.0,1078173,2014,266,,0
1368,Maharashtra,MH,S13,1,Solapur,893734,808990,1702739,526695.0,423356.0,950051,2014,265,,0
1376,Maharashtra,MH,S13,1,Nanded,878520,808528,1687057,548032.0,462233.0,1010265,2014,239,,0
1390,Maharashtra,MH,S13,1,Mumbai North West,986704,788712,1775416,504202.0,393043.0,897245,2014,250,,0
1397,Maharashtra,MH,S13,1,Nashik,850699,743058,1593774,523318.0,412087.0,935405,2014,244,,0
1399,Maharashtra,MH,S13,1,Baramati,960395,853153,1813553,602117.0,463496.0,1065613,2014,258,,0
1406,Maharashtra,MH,S13,1,Shirur,973132,850960,1824112,613290.0,475412.0,1088702,2014,259,,0
1407,Maharashtra,MH,S13,1,Pune,949561,886266,1835835,533792.0,459588.0,993382,2014,257,,0
1408,Maharashtra,MH,S13,1,Jalgaon,909058,798886,1707969,550503.0,439312.0,989821,2014,226,,0
1413,Maharashtra,MH,S13,1,Jalna,866612,745444,1612056,595979.0,469547.0,1065526,2014,241,,0
1430,Maharashtra,MH,S13,1,Buldhana,844789,750643,1595435,535827.0,442565.0,978392,2014,228,,0
1445,Maharashtra,MH,S13,1,Parbhani,945901,857880,1803792,637677.0,523946.0,1161624,2014,240,,0
1459,Maharashtra,MH,S13,1,Nagpur,980485,920265,1900784,578754.0,504850.0,1083604,2014,233,,0
1460,Maharashtra,MH,S13,1,Mumbai North central,967468,769592,1737084,472010.0,372857.0,844867,2014,252,,0
1467,Maharashtra,MH,S13,1,Osmanabad,934227,824943,1759186,611537.0,505020.0,1116572,2014,263,,0
1475,Maharashtra,MH,S13,1,Hatkanangle,850721,779846,1630604,630470.0,556249.0,1186727,2014,271,,0
1481,Maharashtra,MH,S13,1,Amravati,848217,764503,1612739,554649.0,446414.0,1001063,2014,230,,0
1484,Maharashtra,MH,S13,1,Maval,1035961,917770,1953741,646904.0,527044.0,1173949,2014,256,,0
1487,Maharashtra,MH,S13,1,Akola,882014,790609,1672643,543956.0,433633.0,977589,2014,229,,0
1491,Maharashtra,MH,S13,1,Sangli,861582,787493,1649107,556695.0,486169.0,1042869,2014,267,,0
1494,Maharashtra,MH,S13,1,Ratnagiri - sindhudurg,665658,701697,1367362,444269.0,451748.0,896017,2014,269,,1
1495,Maharashtra,MH,S13,1,Ahmadnagar,902928,802016,1705005,594749.0,465801.0,1060551,2014,260,,0
1496,Maharashtra,MH,S13,1,Mumbai South central,793802,654025,1447886,424310.0,343790.0,768130,2014,253,,1
1511,Maharashtra,MH,S13,1,Gadchiroli-Chimur,752751,715686,1468437,537674.0,489980.0,1027654,2014,235,,1
