long1,lat,id1,statename,stateabb,pcname,m_electors,f_electors,t_electors,sex_ratio_e,f_vote_turnout,m_vote_turnout,c,l_t,group
94.638702,26.891426,48,Assam,AS,Jorhat,611283,578203,1189486,1057,77.323708,79.142395,0,3.75,AS: Jorhat
93.605408,26.498747,50,Assam,AS,Kaliabor,752695,704524,1457219,1068,79.657753,80.424873,1,5,AS: Kaliabor
92.474388,24.552464,55,Assam,AS,Karimganj,615198,550799,1165997,1117,73.464371,78.295609,0,3.75,AS: Karimganj
90.660469,26.619522,57,Assam,AS,Kokrajhar,776151,729307,1505472,1064,80.491615,82.003761,1,5,AS: Kokrajhar
94.770287,27.443005,46,Assam,AS,Lakhimpur,735340,695740,1431080,1057,77.551239,77.850655,1,5,AS: Lakhimpur
91.943398,26.576361,51,Assam,AS,Mangaldoi,791539,724137,1515676,1093,80.344193,82.276047,1,5,AS: Mangaldoi
92.633888,26.159952,52,Assam,AS,Nowgong,792425,731446,1523881,1083,80.736649,80.701515,1,5,AS: Nowgong
92.862053,24.813927,56,Assam,AS,Silchar,554540,505558,1060175,1097,73.368042,77.356369,0,3.75,AS: Silchar
93.020622,26.799097,49,Assam,AS,Tezpur,654866,604702,1259568,1083,78.558197,77.188461,0,3.75,AS: Tezpur
87.354332,26.199492,62,Bihar,BH,Araria,843076,744212,1587332,1133,64.939964,58.418575,2,7.5,BH: Araria
84.543678,25.469048,76,Bihar,BH,Arrah,1016299,808210,1824515,1257,46.467503,50.919956,3,10,BH: Arrah
84.564842,24.681038,97,Bihar,BH,Aurangabad,825574,710533,1536153,1162,50.063686,52.07819,1,5,BH: Aurangabad
86.836166,24.890337,79,Bihar,BH,Banka,824924,724490,1549456,1139,60.459221,55.919941,1,5,BH: Banka
86.130844,25.495287,75,Bihar,BH,Begusarai,949825,828874,1778759,1146,64.201675,57.40152,3,10,BH: Begusarai
87.134995,25.285322,87,Bihar,BH,Bhagalpur,895185,790098,1685339,1133,57.149239,58.358551,2,7.5,BH: Bhagalpur
84.025467,25.41452,85,Bihar,BH,Buxar,877699,762929,1640671,1150,51.710186,56.333096,2,7.5,BH: Buxar
86.103157,26.081844,71,Bihar,BH,Darbhanga,797254,698177,1495445,1142,60.406029,51.114952,1,5,BH: Darbhanga
85.047897,24.662714,98,Bihar,BH,Gaya (Sc),799210,702311,1501521,1138,51.830315,55.418728,1,5,BH: Gaya (Sc)
84.377312,26.442745,63,Bihar,BH,Gopalganj (Sc),871590,783212,1654838,1113,58.558731,51.047165,2,7.5,BH: Gopalganj (Sc)
85.361748,25.718819,93,Bihar,BH,Hajipur (Sc),895047,754452,1649547,1186,56.448387,53.422558,2,7.5,BH: Hajipur (Sc)
84.977997,25.101929,99,Bihar,BH,Jahanabad,751585,671629,1423246,1119,54.420223,59.274864,0,3.75,BH: Jahanabad
86.284897,24.858128,96,Bihar,BH,Jamui (Sc),828406,722499,1550936,1147,49.828167,50.167309,1,5,BH: Jamui (Sc)
86.338081,26.401941,66,Bihar,BH,Jhanjharpur,895570,772835,1668405,1159,63.485737,50.303047,2,7.5,BH: Jhanjharpur
84.325966,24.966713,94,Bihar,BH,Karakat,849474,730224,1580558,1163,45.519459,53.845791,2,7.5,BH: Karakat
87.688911,25.533245,81,Bihar,BH,Katihar,769044,677392,1446478,1135,71.145508,64.443649,1,5,BH: Katihar
86.536285,25.591501,83,Bihar,BH,Khagaria,800786,705750,1506587,1135,63.784626,55.687912,1,5,BH: Khagaria
87.86734,26.180775,70,Bihar,BH,Kishanganj,762874,676103,1438990,1128,67.611885,61.752792,1,5,BH: Kishanganj
86.764038,25.803692,74,Bihar,BH,Madhepura,899152,826507,1725693,1088,63.625473,56.584648,3,10,BH: Madhepura
85.921242,26.372381,69,Bihar,BH,Madhubani,878017,749809,1627832,1171,59.567169,47.11845,2,7.5,BH: Madhubani
84.674919,26.065668,73,Bihar,BH,Maharajganj,874822,767218,1642068,1140,55.53767,48.036285,2,7.5,BH: Maharajganj
86.161781,25.267544,88,Bihar,BH,Munger,937897,782040,1719984,1199,52.213314,53.94313,3,10,BH: Munger
85.527733,26.118921,60,Bihar,BH,Muzaffarpur,830943,720390,1551363,1153,63.565014,59.083355,1,5,BH: Muzaffarpur
85.455864,25.220821,80,Bihar,BH,Nalanda,1036575,915392,1951967,1132,45.730026,48.528954,3,10,BH: Nalanda
85.607689,24.845135,78,Bihar,BH,Nawada,897821,797019,1694895,1126,50.956879,53.267521,3,10,BH: Nawada
84.697556,26.812534,68,Bihar,BH,Paschim Champaran,769411,643703,1413148,1195,59.902317,60.961956,0,3.75,BH: Paschim Champaran
84.95311,25.462822,84,Bihar,BH,Pataliputra,934086,801923,1736074,1165,52.847591,59.204185,3,10,BH: Pataliputra
85.304382,25.502337,86,Bihar,BH,Patna Sahib,1052278,893885,1946249,1177,41.364044,48.511894,3,10,BH: Patna Sahib
87.31147,25.749193,72,Bihar,BH,Purnia,826834,755758,1582626,1094,66.966675,61.833694,2,7.5,BH: Purnia
84.859505,26.508064,89,Bihar,BH,Purvi Champaran,779657,659560,1439253,1182,57.701649,56.700703,1,5,BH: Purvi Champaran
85.981361,25.9018,82,Bihar,BH,Samastipur (Sc),802420,702007,1504451,1143,61.594971,53.685352,1,5,BH: Samastipur (Sc)
84.920097,25.82291,95,Bihar,BH,Saran,832441,706266,1538740,1179,58.328449,54.11927,1,5,BH: Saran
83.738815,24.909554,77,Bihar,BH,Sasaram (Sc),859397,748291,1607747,1148,53.056366,52.207767,2,7.5,BH: Sasaram (Sc)
85.239189,26.590202,90,Bihar,BH,Sheohar,792374,693355,1485801,1143,59.037003,54.68718,1,5,BH: Sheohar
85.593933,26.582144,91,Bihar,BH,Sitamarhi,832370,742498,1574914,1121,60.825485,53.924217,2,7.5,BH: Sitamarhi
84.313217,26.154049,64,Bihar,BH,Siwan,841735,722100,1563860,1166,60.958038,52.727638,2,7.5,BH: Siwan
86.819374,26.211187,67,Bihar,BH,Supaul,797373,728185,1525583,1095,68.944565,58.75243,1,5,BH: Supaul
85.716606,25.70739,92,Bihar,BH,Ujiarpur,764186,662004,1426217,1154,64.206108,56.773876,1,5,BH: Ujiarpur
85.168732,26.145567,65,Bihar,BH,Vaishali,841773,724500,1566321,1162,61.444721,57.112667,2,7.5,BH: Vaishali
84.294617,27.150631,61,Bihar,BH,Valmiki Nagar,786312,670236,1456598,1173,61.977573,61.608242,1,5,BH: Valmiki Nagar
76.781471,30.730057,111,Chandigarh,CH,Chandigarh,333621,281593,615214,1185,74.012848,73.408745,0,3.75,CH: Chandigarh
81.281883,18.95079,109,Chhattisgarh,CT,Bastar,632842,665241,1298083,951,57.679848,61.024551,0,3.75,CT: Bastar
81.944496,22.236969,103,Chhattisgarh,CT,Bilaspur,891316,837889,1729229,1064,61.691944,64.295715,3,10,CT: Bilaspur
81.463669,21.491745,105,Chhattisgarh,CT,Durg,948929,909771,1858922,1043,65.723022,69.674866,3,10,CT: Durg
82.624298,21.747662,100,Chhattisgarh,CT,Janjgir-Champa,895884,848077,1744201,1056,60.654045,62.388882,3,10,CT: Janjgir-Champa
81.341095,20.290571,108,Chhattisgarh,CT,Kanker,722916,725459,1448375,996,69.047455,71.338165,1,5,CT: Kanker
82.382195,22.986471,110,Chhattisgarh,CT,Korba,729951,693664,1423729,1052,73.073128,74.688164,0,3.75,CT: Korba
82.324875,20.818888,106,Chhattisgarh,CT,Mahasamund,757694,758435,1516177,999,73.067833,76.107773,1,5,CT: Mahasamund
83.559326,22.408606,107,Chhattisgarh,CT,Raigarh,819043,807906,1626949,1014,76.081253,77.098518,2,7.5,CT: Raigarh
81.880905,21.422146,101,Chhattisgarh,CT,Raipur,979589,924588,1904460,1059,63.985905,67.288834,3,10,CT: Raipur
80.958801,21.398705,104,Chhattisgarh,CT,Rajnandgaon,797477,793896,1591373,1005,72.411751,75.667137,2,7.5,CT: Rajnandgaon
83.219139,23.357801,102,Chhattisgarh,CT,Sarguja,771106,751862,1523022,1026,76.675377,79.212456,1,5,CT: Sarguja
73.070656,20.195053,120,Dadra & Nagar Haveli,DN,Dadar & Nagar Haveli,106203,90394,196597,1175,85.729141,82.66433,0,3.75,DN: Dadar & Nagar Haveli
72.852356,20.414064,112,Daman & Diu,DD,Daman & Diu,57011,54816,111827,1040,81.861137,74.292679,0,3.75,DD: Daman & Diu
73.974724,15.575136,122,Goa,GA,North Goa,255870,259571,515441,986,79.246529,77.964981,0,3.75,GA: North Goa
74.11055,15.211731,121,Goa,GA,South Goa,272438,272898,545336,998,78.538132,71.622902,0,3.75,GA: South Goa
72.794548,23.182962,137,Gujarat,GJ,Ahmedabad East,852765,749057,1601832,1138,56.468334,65.349655,2,7.5,GJ: Ahmedabad East
72.59938,23.028582,127,Gujarat,GJ,Ahmedabad West,800933,733462,1534400,1092,58.458515,66.38533,1,5,GJ: Ahmedabad West
71.338669,21.398626,136,Gujarat,GJ,Amreli,777662,708624,1486286,1097,49.368496,58.594608,1,5,GJ: Amreli
72.788414,22.452957,135,Gujarat,GJ,Anand,781118,715737,1496859,1091,59.790539,69.033875,1,5,GJ: Anand
72.003227,24.334059,130,Gujarat,GJ,Banaskantha,796124,719587,1515711,1106,51.629337,64.273659,1,5,GJ: Banaskantha
73.413101,21.229404,123,Gujarat,GJ,Bardoli,829648,784448,1614106,1058,72.40416,76.706985,2,7.5,GJ: Bardoli
73.103157,21.77643,141,Gujarat,GJ,Bharuch,734862,682658,1417548,1076,72.329041,76.551651,0,3.75,GJ: Bharuch
71.874458,21.76317,147,Gujarat,GJ,Bhavnagar,834571,759936,1594531,1098,52.111362,61.94416,2,7.5,GJ: Bhavnagar
73.657684,22.167042,142,Gujarat,GJ,Chhota Udaipur,798160,738143,1536305,1081,68.335136,73.936432,1,5,GJ: Chhota Udaipur
